  t   J_i   l_i   J_f   l_f   Lam  n1   lj1  n2  lj2   TD   TD/sqrt(2j_1+1)
  0     2     1     2     2  2     2     1     1     5     0.35663047     0.25217582
  0     2     1     2     2  2     2     2     2     1     0.19119244     0.09559622
  0     2     1     2     2  2     2     2     2     2     0.06879498     0.03439749
  0     2     1     2     2  2     2     2     1     5     0.07037415     0.03518708
  0     2     1     2     2  2     1     5     2     1     0.43077561     0.17586341
  0     2     1     2     2  2     1     5     2     2    -0.07692809    -0.03140576
  0     2     1     2     2  2     1     5     1     5     0.55344931     0.22594473
  0     2     1     2     2  2     1     8     1     8     1.54199564     0.48762184
  0     2     1     2     2  2     1     8     1     5     0.00001216     0.00000385
  1     2     1     2     2  2     2     1     2     2    -0.43976616    -0.31096164
  1     2     1     2     2  2     2     1     1     5     0.55975503     0.39580657
  1     2     1     2     2  2     2     2     2     1     0.29116528     0.14558264
  1     2     1     2     2  2     2     2     2     2     0.72569379     0.36284690
  1     2     1     2     2  2     2     2     1     5     0.23474909     0.11737454
  1     2     1     2     2  2     1     5     1     8    -0.00002162    -0.00000883
  1     2     1     2     2  2     1     5     2     1     0.21620449     0.08826511
  1     2     1     2     2  2     1     5     2     2    -0.28265860    -0.11539489
  1     2     1     2     2  2     1     5     1     5     1.14047221     0.46559583
  1     2     1     2     2  2     1     8     1     8     0.13748300     0.04347594
  0     2     1     4     1  2     2     1     2     2     0.46626498     0.32969913
  0     2     1     4     1  2     2     1     1     5    -0.63737425    -0.45069166
  0     2     1     4     1  2     2     2     2     1    -0.24387273    -0.12193637
  0     2     1     4     1  2     2     2     2     2    -0.08168262    -0.04084131
  0     2     1     4     1  2     2     2     1     5    -0.05480750    -0.02740375
  0     2     1     4     1  2     1     5     2     1    -0.41044509    -0.16756351
  0     2     1     4     1  2     1     5     2     2     0.10443835     0.04263678
  0     2     1     4     1  2     1     5     1     5    -0.73927616    -0.30180823
  0     2     1     4     1  2     1     8     1     8    -2.16305159    -0.68401697
  0     2     1     4     1  2     1     8     1     5    -0.00002383    -0.00000754
  1     2     1     4     1  2     2     1     2     2     0.54798366     0.38748297
  1     2     1     4     1  2     2     1     1     5    -0.52516281    -0.37134619
  1     2     1     4     1  2     2     2     2     1    -0.45178632    -0.22589316
  1     2     1     4     1  2     2     2     2     2    -1.06240336    -0.53120168
  1     2     1     4     1  2     2     2     1     5    -0.40402245    -0.20201123
  1     2     1     4     1  2     1     5     1     8     0.00002681     0.00001095
  1     2     1     4     1  2     1     5     2     1    -0.52862968    -0.21581216
  1     2     1     4     1  2     1     5     2     2     0.35306280     0.14413728
  1     2     1     4     1  2     1     5     1     5    -1.53463519    -0.62651219
  1     2     1     4     1  2     1     8     1     8    -0.16474737    -0.05209769
  0     2     1     4     2  2     2     1     2     2     0.08476398     0.05993719
  0     2     1     4     2  2     2     1     1     5    -0.33559280    -0.23729995
  0     2     1     4     2  2     2     2     2     1     0.00041972     0.00020986
  0     2     1     4     2  2     2     2     2     2    -0.07320031    -0.03660016
  0     2     1     4     2  2     2     2     1     5    -0.04356468    -0.02178234
  0     2     1     4     2  2     1     5     2     1    -0.22309163    -0.09107678
  0     2     1     4     2  2     1     5     2     2     0.07634784     0.03116888
  0     2     1     4     2  2     1     5     1     5     0.17288188     0.07057873
  0     2     1     4     2  2     1     8     1     8    -0.04484981    -0.01418275
  0     2     1     4     2  2     1     8     1     5    -0.00013250    -0.00004190
  1     2     1     4     2  2     2     1     2     2    -0.24452901    -0.17290812
  1     2     1     4     2  2     2     1     1     5     0.37509695     0.26523360
  1     2     1     4     2  2     2     2     2     1     0.07929352     0.03964676
  1     2     1     4     2  2     2     2     2     2     0.18776793     0.09388396
  1     2     1     4     2  2     2     2     1     5    -0.00876998    -0.00438499
  1     2     1     4     2  2     1     5     1     8     0.00001060     0.00000433
  1     2     1     4     2  2     1     5     2     1     0.12899182     0.05266069
  1     2     1     4     2  2     1     5     2     2     0.04311620     0.01760211
  1     2     1     4     2  2     1     5     1     5    -0.24801415    -0.10125135
  1     2     1     4     2  2     1     8     1     8    -0.14048140    -0.04442412
  0     2     2     0     1  2     2     1     2     2    -0.03401267    -0.02405059
  0     2     2     0     1  2     2     1     1     5     0.21778479     0.15399711
  0     2     2     0     1  2     2     2     2     1     0.06943196     0.03471598
  0     2     2     0     1  2     2     2     2     2     0.06472338     0.03236169
  0     2     2     0     1  2     2     2     1     5     0.06293116     0.03146558
  0     2     2     0     1  2     1     5     2     1     0.26562995     0.10844297
  0     2     2     0     1  2     1     5     2     2    -0.04889620    -0.01996179
  0     2     2     0     1  2     1     5     1     5    -0.08269693    -0.03376088
  0     2     2     0     1  2     1     8     1     8    -0.03165959    -0.01001164
  0     2     2     0     1  2     1     8     1     5    -0.00002639    -0.00000834
  1     2     2     0     1  2     2     1     2     2     0.10807390     0.07641979
  1     2     2     0     1  2     2     1     1     5    -0.17654583    -0.12483675
  1     2     2     0     1  2     2     2     2     1    -0.19134430    -0.09567215
  1     2     2     0     1  2     2     2     2     2    -0.07586004    -0.03793002
  1     2     2     0     1  2     2     2     1     5     0.03911996     0.01955998
  1     2     2     0     1  2     1     5     1     8     0.00009126     0.00003726
  1     2     2     0     1  2     1     5     2     1    -0.29607324    -0.12087139
  1     2     2     0     1  2     1     5     2     2    -0.04955848    -0.02023216
  1     2     2     0     1  2     1     5     1     5     0.17486896     0.07138995
  1     2     2     0     1  2     1     8     1     8     0.08564351     0.02708286
  0     2     2     0     2  2     2     1     2     2    -0.15495280    -0.10956817
  0     2     2     0     2  2     2     1     1     5     0.16840233     0.11907843
  0     2     2     0     2  2     2     2     2     1     0.14169136     0.07084568
  0     2     2     0     2  2     2     2     2     2     0.03029532     0.01514766
  0     2     2     0     2  2     2     2     1     5     0.04403640     0.02201820
  0     2     2     0     2  2     1     5     2     1     0.25959346     0.10597859
  0     2     2     0     2  2     1     5     2     2    -0.03398798    -0.01387553
  0     2     2     0     2  2     1     5     1     5     0.39867995     0.16276041
  0     2     2     0     2  2     1     8     1     8     1.08461528     0.34298547
  0     2     2     0     2  2     1     8     1     5    -0.00005863    -0.00001854
  1     2     2     0     2  2     2     1     2     2    -0.21549053    -0.15237482
  1     2     2     0     2  2     2     1     1     5     0.36630330     0.25901555
  1     2     2     0     2  2     2     2     2     1     0.21792589     0.10896294
  1     2     2     0     2  2     2     2     2     2     0.37354887     0.18677443
  1     2     2     0     2  2     2     2     1     5     0.10183655     0.05091828
  1     2     2     0     2  2     1     5     1     8    -0.00009877    -0.00004032
  1     2     2     0     2  2     1     5     2     1     0.16464204     0.06721483
  1     2     2     0     2  2     1     5     2     2    -0.11117447    -0.04538679
  1     2     2     0     2  2     1     5     1     5     0.74159531     0.30275502
  1     2     2     0     2  2     1     8     1     8     0.00001022     0.00000323
  1     2     2     0     2  2     1     8     1     8     0.13181589     0.04168384
